feature_name,r_conflict_disagreement,r_var_disagreement,r_range_disagreement,r_conflict_variability,r_conflict_range,r_var_range
AGEP,-0.0301,0.2879,0.464,0.7731,0.1999,0.673
SCHL,0.3045,-0.0382,-0.3092,0.6043,0.1508,0.7669
MAR,-0.1155,-0.1865,0.2711,0.7382,0.3173,0.5737
RELP,0.1478,0.0835,0.1821,0.5745,0.3259,0.8231
DIS,0.0186,0.343,0.5554,0.49,0.1942,0.7935
ESP,0.5418,0.1961,0.1499,0.4222,0.1859,0.6377
CIT,0.0613,0.0393,0.5332,0.3351,0.4267,0.5842
MIG,0.1339,0.2493,0.2256,0.3162,0.278,0.7979
MIL,0.0397,0.3095,0.217,0.684,0.3867,0.8046
ANC,0.0609,0.5421,0.5744,0.4516,0.2413,0.8992
NATIVITY,0.0648,0.5711,0.178,0.0623,0.3433,0.6151
DEAR,0.0394,-0.1602,0.2617,0.2502,0.3674,0.6304
DEYE,0.0206,0.2023,0.3349,0.1095,0.3883,0.5567
DREM,0.3514,0.1093,-0.1579,0.6359,0.0156,0.4573
SEX,-0.1424,-0.3084,0.2678,0.7594,0.3096,0.3965
RAC1P,0.2449,-0.2864,-0.2966,0.3895,0.2314,0.8134
