feature_name,r_conflict_disagreement,r_var_disagreement,r_range_disagreement,r_conflict_variability,r_conflict_range,r_var_range
AGEP,0.3579,0.4293,0.4081,0.8024,0.4624,0.8195
SCHL,0.1662,-0.116,-0.3649,0.7687,0.388,0.7799
MAR,0.0145,-0.1372,0.1967,0.7468,0.5654,0.7435
RELP,0.1472,-0.0226,0.0533,0.6592,0.4439,0.8822
DIS,0.1764,0.0813,0.3784,0.3318,0.0729,0.7994
ESP,0.3191,0.1547,0.253,0.6167,0.308,0.6768
CIT,0.0416,-0.2078,0.3662,0.1153,0.3231,0.5101
MIG,0.3391,0.3023,0.0873,0.4944,0.4063,0.7973
MIL,0.111,0.2348,0.3178,0.6629,0.2651,0.691
ANC,0.1668,0.5356,0.6349,0.5971,0.3264,0.8484
NATIVITY,-0.0029,0.1678,-0.0739,-0.0383,0.2925,0.4386
DEAR,0.1107,-0.1954,0.5732,0.1405,0.364,0.4302
DEYE,0.0634,0.0715,0.266,0.1378,0.3791,0.5833
DREM,0.3641,-0.1946,-0.2298,0.5256,0.1801,0.5805
SEX,0.188,0.0306,0.344,0.8241,0.5117,0.6146
RAC1P,0.2859,-0.157,-0.1847,0.588,0.4589,0.7883
