feature_name,r_conflict_disagreement,r_var_disagreement,r_range_disagreement,r_conflict_variability,r_conflict_range,r_var_range
AGEP,0.4171,0.4687,0.3672,0.7639,0.4083,0.7339
SCHL,0.1639,-0.0995,-0.2794,0.6838,0.3461,0.7256
MAR,0.0663,-0.0677,0.1961,0.734,0.4851,0.685
RELP,0.1769,0.0124,0.0116,0.4093,0.2572,0.8467
DIS,0.1037,-0.099,-0.0637,-0.0181,-0.0179,0.9483
ESP,0.3827,-0.0474,0.0487,0.1496,0.1479,0.8752
CIT,-0.1314,0.5935,0.6514,-0.0104,-0.0217,0.9406
MIG,0.3411,0.0732,0.1043,0.2214,0.1231,0.8241
MIL,0.0427,0.2439,0.3105,0.3538,0.2565,0.8921
ANC,0.1222,0.475,0.6214,0.5343,0.3127,0.7833
NATIVITY,-0.157,0.1749,0.1967,-0.0525,-0.0418,0.9751
DEAR,-0.0157,0.3636,0.5354,0.0458,0.0062,0.9255
DEYE,-0.0616,0.2268,0.3477,0.0984,0.0775,0.9417
DREM,0.3121,-0.0821,-0.1949,0.0034,-0.0432,0.9195
SEX,0.0129,-0.0818,0.2353,0.802,0.3737,0.5472
RAC1P,0.3292,-0.1201,-0.178,0.2648,0.2297,0.7907
