feature_name,r_conflict_disagreement,r_var_disagreement,r_range_disagreement,r_conflict_variability,r_conflict_range,r_var_range
AGEP,0.1276,0.0294,0.0974,0.5557,0.3107,0.8211
SCHL,0.1199,-0.2498,-0.4515,0.7624,0.3686,0.7679
MAR,-0.0036,0.1442,0.3335,0.6725,0.5033,0.7097
SEX,0.1613,-0.0784,-0.046,0.3597,0.2423,0.8021
DIS,0.0893,0.2161,0.3163,0.5006,0.3021,0.8507
ESP,-0.1007,0.5909,0.2713,0.0741,0.0849,0.8051
CIT,-0.0164,0.8516,0.4562,0.1666,0.3121,0.7659
MIG,0.0958,-0.086,-0.418,0.4456,0.3079,0.741
MIL,0.026,0.0425,0.0363,0.1646,-0.0334,0.806
ANC,-0.0116,0.2609,0.1314,0.2839,0.1252,0.873
NATIVITY,0.1522,0.804,0.6099,0.1598,0.1728,0.89
DEAR,0.3048,0.7015,0.5615,0.2055,0.2824,0.7876
DEYE,0.2888,0.6635,0.6007,0.2848,0.3529,0.8854
DREM,0.0616,0.196,0.1228,0.416,0.4114,0.6494
PINCP,-0.0543,0.2274,0.4485,0.7637,0.386,0.7233
ESR,-0.0386,0.1612,0.1614,0.6532,0.2458,0.7209
FER,-0.0221,-0.5822,-0.4924,0.4063,0.419,0.9018
RAC1P,0.2264,0.3793,0.6295,0.5288,0.2403,0.7442
